Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
srsRAN 4G,Complete LTE stack (eNB EPC UE),srsenb | srsepc | srsue,✅,✅,✅,srsran4G_5GNSA_soft_install,✅
Open5GS,Open source 5G Core and EPC,open5gs-amfd | open5gs-smfd | open5gs-upfd | open5gs-mmed | open5gs-sgwud | open5gs-hssd | open5gs-pcrfd,✅,✅,✅,Open5GS_soft_install,✅
Open5GS Web UI,Subscriber management web interface,Node.js web UI on port 3000,✅,✅,✅,Open5GS_soft_install,✅
