Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
YateBTS,Complete 2G/GSM base station with Yate softswitch,yate | yatebts | mbts,✅,✅,✅,yatebts_blade2_soft_install,✅
OpenBTS,Open source GSM base station,OpenBTS | transceiver,✅,❌,❌,openbts_uhd_soft_install,✅
OpenBTS UMTS,Open source 3G UMTS base station,OpenBTS-UMTS,✅,❌,❌,openbts_umts_soft_install,✅
OsmoCom BTS Suite,Complete 2G network infrastructure suite,osmo-bts | osmo-bsc | osmo-msc | osmo-hlr | osmo-mgw | osmo-sgsn | osmo-ggsn,✅,✅,✅,osmobts_suite_soft_install,✅
