Tool(s),Available commands,amd64 ,aarch64,riscv64,Installation function
yatebts,yate | yate-config | yate-qt5,✅  ,✅,✅,yatebts_blade2_soft_install
OpenBTS,/telecom/2G/OpenBTS/,✅  ,❌ (need tests with other compiler),❌,openbts_uhd_soft_install
OpenBTS UMTS,/telecom/3G/OpenBTS-UMTS/,✅  ,❌ (need to fix ASN part),❌,openbts_umts_soft_install
"srsRAN 4G, 5G NSA",/telecom/4G/srsRAN_4G/,✅  ,✅ ,✅ ,srsran4G_5GNSA_soft_install
srsRAN 5G SA,/telecom/5G/srsRAN_Project/,✅  ,✅  ,✅,srsran5GSA_soft_install
pycrate,/telecom/pycrate/,✅  ,✅  ,✅,pycrate_soft_install
Open5GS,/telecom/5G/open5gs/,✅  ,✅ ,✅ ,Open5GS_soft_install
OsmoBTS suite (including OsmoPCU + OsmoSGSN and others),osmo* tools with configs in /telecom/2G/osmocom/,✅  ,✅ ,✅,osmobts_suite_soft_install
