Tool(s),Description,Available commands,amd64,aarch64,riscv64,Installation function,Installed by default
proxmark3,RRG/Iceman Proxmark3 firmware and client,proxmark3 | pm3,✅,✅,✅,proxmark3_soft_install,✅
libnfc,Near Field Communication library and tools,nfc-list | nfc-scan-device | nfc-poll | nfc-dep-initiator | nfc-dep-target,✅,✅,✅,libnfc_soft_install,✅
nfc-tools,Utilities for libnfc,nfc-barcode | nfc-read-forum-tag3 | nfc-emulate-forum-tag4 | nfc-mfclassic | nfc-relay-picc | nfc-jewel | nfc-mfultralight,✅,✅,✅,libnfc_soft_install,✅
mfoc,MIFARE Classic Offline Cracker,mfoc,✅,✅,✅,mfoc_soft_install,✅
mfcuk,MIFARE Classic Universal toolKit,mfcuk,✅,✅,✅,mfcuk_soft_install,✅
mfdread,MIFARE dump reader and parser,/rftools/rfid/mfdread/mfdread.py,✅,✅,✅,mfread_soft_install,✅
RFIDler,Open-source RFID emulator and reader,/root/thirdparty/RFIDler/,✅,❌,❌,rfidler_soft_install,✅
miLazyCracker,Automated MIFARE Classic cracking with DarkSide attack,/rftools/rfid/miLazyCracker/,✅,✅,✅,miLazyCracker_soft_install,✅
