Tool(s),Available commands,amd64 ,aarch64,riscv64,Installation function
yatebts,yate | yate-config | yate-qt5,✅  ,✅,✅,yatebts_blade2_soft_install
OpenBTS,/telecom/2G/OpenBTS/,✅  ,❌ (need tests with other compiler),❌,openbts_uhd_soft_install
OpenBTS UMTS,/telecom/3G/OpenBTS-UMTS/,✅  ,❌ (need to fix ASN part),❌,openbts_umts_soft_install
OsmoBTS suite (including OsmoPCU + OsmoSGSN and others),osmo* tools with configs in /telecom/2G/osmocom/,✅  ,✅ ,✅,osmobts_suite_soft_install
