Tool(s),Available commands,amd64 ,aarch64,riscv64,Installation function
pycrate,/telecom/pycrate/,✅  ,✅  ,✅,pycrate_soft_install
CryptoMobile,/telecom/CryptoMobile/,✅  ,✅  ,✅,cryptomobile_soft_install
PySIM,/telecom/SIM/pysim,✅  ,✅  ,✅,pysim_soft_install
sysmo-usim-tool,/telecom/SIM/sysmo-usim-tool,✅  ,✅  ,✅,sysmoUSIM_soft_install
SCAT,/telecom/scat,✅  ,✅  ,✅,SCAT_soft_install
SigPloit,/telecom/2G/SigPloit,✅  ,✅  ,✅,SigPloit_soft_install
pysctp,,✅  ,✅  ,✅,pysctp_soft_install
jSS7,/telecom/2G/jss7,✅  ,❓  ,❓,jss7_soft_install
